full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
(2016 SN3),1.975,0.7353,5.65,11.9,240.45,0.523,3.43,23.3,,-157.69,-2.916398770959336,-167.09734095311038
(2016 SP3),1.245,0.311,0.79,166.52,122.18,0.858,1.63,27.9,,74.97999999999999,1.6192823802147915,92.77804622620584
(2016 SQ3),1.204,0.2605,19.14,178.45,259.65,0.89,1.52,25.3,,131.43,2.4583439941085374,140.85273545375287
(2016 SU3),1.493,0.3485,4.93,183.41,137.94,0.973,2.01,25.3,,-154.78,-2.8136658465188913,-161.21117796563652
(2016 SW3),2.191,0.5601,6.66,4.3,331.51,0.964,3.42,28.3,,122.33999999999997,2.479546990550582,142.06757766291298
(2016 SC17),2.252,0.5592,5.09,164.82,175.5,0.993,3.51,25.4,,-172.84,-3.061414615684276,-175.40613681837394
(2016 SG17),1.019,0.1959,31.73,16.28,192.51,0.819,1.22,21.7,,-63.510000000000005,-1.2970650430876922,-74.31635272287903
(2016 SH35),1.398,0.2727,7.78,22.65,332.58,1.017,1.78,24.9,,17.650000000000006,0.41899711490897146,24.00676631244204
(2016 SJ35),1.752,0.4614,14.4,181.55,143.15,0.944,2.56,24.6,,173.47000000000003,3.063580816506977,175.53025098309251
(2016 TA),2.384,0.8908,7.22,6.63,127.46,0.26,4.51,26.3,,169.29000000000002,3.0426565043178653,174.3313762054422
(2016 TC),1.321,0.4043,1.64,211.59,237.13,0.787,1.86,25.93,,141.66000000000003,2.659780347050002,152.39418831780654
(2016 TD),1.611,0.4696,13.42,7.97,302.51,0.855,2.37,28.1,,9.090000000000003,0.2953302340561242,16.92117597402668
(2016 TF),1.81,0.468,14.64,7.33,39.15,0.963,2.66,25.7,,78.39999999999998,1.8216859611366516,104.37491717136305
(2016 TG),1.816,0.5762,1.21,245.02,198.68,0.77,2.86,25.4,,159.61,2.915107780858582,167.02337266894403
(2016 TH),1.038,0.2595,2.33,191.49,276.13,0.768,1.31,29.4,,-17.069999999999993,-0.3986618295004316,-22.841640283338734
(2016 TJ),1.334,0.2795,23.73,5.22,308.5,0.961,1.71,24.8,,-148.2,-2.7048130486638606,-154.97437206035258
(2016 TK),1.327,0.2651,9.78,182.4,257.7,0.975,1.68,23.3,,132.45999999999998,2.4756434454261145,141.8439210021421
(2016 TL),1.726,0.4362,22.65,14.2,315.72,0.973,2.48,24.0,,-163.54,-2.941157179815392,-168.51589328802172
(2016 TM),1.151,0.1684,0.37,350.6,328.23,0.958,1.35,27.5,,-3.6100000000000136,-0.07575058899032429,-4.340189044775741
(2016 TO),1.382,0.2747,23.19,9.32,51.79,1.002,1.76,23.0,,152.11,2.7577035353806263,158.00477372561602
(2016 TP),1.851,0.451,10.56,188.88,223.86,1.016,2.69,23.5,,29.930000000000007,0.8658917388374031,49.6119421506273
(2016 TS),2.318,0.5617,2.59,175.31,179.58,1.016,3.62,25.4,,-177.11,-3.1092924871133385,-178.1493367833292
(2016 TT),1.801,0.5071,4.76,184.17,130.43,0.888,2.71,26.0,,117.25,2.3919317318863555,137.04759312050578
(2016 TU),1.684,0.5876,16.02,8.63,82.56,0.695,2.67,27.2,,157.41000000000003,2.8922965529494533,165.7163855842399
(2016 TP2),1.467,0.4914,12.71,192.4,258.12,0.746,2.19,26.6,,-161.07999999999998,-2.9195795661322905,-167.27958709201627
(2016 TQ2),1.862,0.5641,10.22,11.14,296.43,0.812,2.91,26.4,,50.129999999999995,1.4337440003299458,82.1474801211092
(2016 TR2),1.725,0.4376,5.39,7.68,323.22,0.97,2.48,26.3,,-166.29,-2.974910740279441,-170.44982984615135
(2016 TS2),1.532,0.3446,8.74,192.33,195.69,1.004,2.06,26.5,,105.14999999999998,2.127736536783844,121.91032347349653
(2016 TH10),0.7658,0.5159,1.39,7.69,164.28,0.371,1.16,24.82,,-77.28,-1.8453658634607972,-105.73167563381861
(2016 TJ10),1.759,0.5082,15.85,196.67,233.56,0.865,2.65,25.2,,161.47000000000003,2.926601776656174,167.68193011788713
(2016 TK10),2.249,0.5648,0.81,169.66,177.91,0.979,3.52,26.3,,79.98000000000002,1.925546167158446,110.32566863577108
(2016 TL10),0.9128,0.1689,6.74,191.02,31.44,0.759,1.07,27.3,,124.92000000000002,2.305584504484526,132.10026141772454
(2016 TM10),2.113,0.6974,13.59,10.31,86.24,0.639,3.59,26.3,,164.51999999999998,2.982144348252743,170.8642850536737
(2016 TU10),1.121,0.1733,15.24,14.89,266.83,0.927,1.32,24.2,,142.26999999999998,2.575960060096461,147.59163963779315
(2016 TV10),2.161,0.6226,8.41,6.8,87.3,0.816,3.51,24.07,,162.05,2.9480529933012547,168.91099429707106
(2016 TW10),2.181,0.5883,4.82,353.19,327.45,0.898,3.46,23.4,,132.66000000000003,2.6123662778793237,149.67756226478525
(2016 TX10),1.949,0.6092,4.71,6.93,75.61,0.762,3.14,25.7,,163.38,2.9609618207536603,169.65061562855647
(2016 TY10),1.171,0.1355,23.0,191.31,244.16,1.012,1.33,24.0,,129.01999999999998,2.348382343433925,134.5523969618057
(2016 TA11),1.263,0.3158,0.81,311.73,128.49,0.864,1.66,27.1,,-61.510000000000005,-1.3838496178042607,-79.28874258097616
(2016 TB11),1.799,0.4988,9.25,196.87,123.98,0.902,2.7,25.23,18.0,-163.07999999999998,-2.9441357004637467,-168.68654995036502
(2016 TC11),1.541,0.4633,15.82,20.73,283.16,0.827,2.25,23.6,,124.56,2.4643187634718733,141.19506452183612
(2016 TD11),1.804,0.4546,4.63,10.94,30.66,0.984,2.62,26.32,,86.20999999999998,1.930202126591536,110.59243546087123
(2016 TN11),1.678,0.4117,17.08,195.27,128.63,0.987,2.37,23.5,,-86.58,-1.9006157794166736,-108.89726263654283
(2016 TO11),2.071,0.5473,4.36,196.17,218.5,0.937,3.2,27.3,,169.14999999999998,3.0190981431374473,172.98158153755946
(2016 TP11),1.037,0.1777,1.54,168.59,108.2,0.852,1.22,24.3,,129.41000000000003,2.3811136137000206,136.42776060615506
(2016 TQ11),1.032,0.1688,5.23,205.02,57.56,0.858,1.21,25.7,,164.61,2.911486529479996,166.81589024839514
(2016 TR11),1.457,0.4745,4.93,96.43,11.96,0.766,2.15,22.13,,-148.98,-2.771721181358524,-158.80792567885806
(2016 TJ17),2.131,0.6349,2.42,13.57,293.87,0.778,3.48,25.3,,169.52999999999997,3.029730155599786,173.59075097938194
(2016 TX17),1.833,0.5941,11.27,206.47,247.96,0.744,2.92,23.5,63.0,159.58999999999997,2.917432196124693,167.15655185352796
(2016 TB18),1.077,0.0843,1.53,190.29,305.75,0.987,1.17,24.8,,123.48000000000002,2.2221721694268757,127.3210866595901
(2016 TD18),1.768,0.4388,3.35,116.56,333.39,0.992,2.54,23.56,,107.13999999999999,2.2195879640198632,127.17302259637336
(2016 TJ18),2.408,0.5827,17.72,44.94,349.04,1.005,3.81,20.56,188.0,-25.139999999999986,-0.8924857516484577,-51.13566684501757
(2016 TK18),2.013,0.5516,3.68,196.85,226.82,0.902,3.12,27.4,,166.87,2.993707411365902,171.52679976830115
(2016 TL18),1.206,0.6627,11.04,55.19,197.18,0.407,2.01,21.61,,-173.91,-3.077648813333354,-176.3362878274473
(2016 TN18),2.333,0.5715,4.24,31.04,309.51,1.0,3.67,24.43,,28.830000000000013,0.9767802384606326,55.96538517557639
(2016 TO18),1.331,0.3617,13.25,198.5,108.35,0.85,1.81,25.7,,-169.52,-3.007160083612426,-172.29758111119978
(2016 TP18),1.092,0.6856,4.63,210.95,295.49,0.343,1.84,24.78,,130.29000000000002,2.6172381159428846,149.95669802429848
(2016 TQ18),2.495,0.6011,3.6,6.97,339.42,0.995,4.0,26.3,,-61.97,-1.679155047474112,-96.20849736835599
(2016 TW18),1.975,0.6251,4.56,235.66,235.13,0.74,3.21,22.6,,-100.47,-2.2427427398016735,-128.49969352424284
(2016 TX18),1.331,0.2973,9.85,5.8,301.19,0.935,1.73,25.4,,-142.23,-2.6283559472131386,-150.59370283342264
(2016 TB19),1.566,0.5061,2.67,197.06,252.5,0.773,2.36,29.1,,29.879999999999995,0.9259866847821925,53.05512892333056
(2016 TT19),2.025,0.6834,7.26,94.07,30.15,0.641,3.41,21.1,,-143.43,-2.758667900762101,-158.060027791883
(2016 TU19),0.8115,0.3545,6.28,177.22,25.63,0.524,1.1,24.4,,161.82,2.9067725962377335,166.54580176870707
(2016 TV19),1.443,0.4135,3.29,23.6,280.1,0.847,2.04,25.9,,-146.99,-2.730644078165769,-156.4543810312898
(2016 TZ19),0.9472,0.5815,5.27,226.34,297.85,0.396,1.5,23.15,50.0,57.099999999999994,1.578067630464056,90.41661501180084
(2016 TQ54),0.943,0.2895,1.37,7.71,243.62,0.67,1.22,27.2,,-101.54,-2.031521279296641,-116.39759529471527
(2016 TR54),0.9739,0.4499,7.59,101.51,109.27,0.536,1.41,22.07,,140.39,2.659040121131678,152.3517764968003
(2016 TS54),2.47,0.6783,6.15,16.5,300.74,0.795,4.15,27.8,,-44.81,-1.4559106106361637,-83.41753333776668
(2016 TE55),1.14,0.4218,9.39,194.76,290.16,0.659,1.62,26.1,,121.93,2.4098978623449123,138.07697656996254
(2016 TG55),1.327,0.303,0.83,11.38,73.95,0.925,1.73,26.0,,128.14999999999998,2.4336678076629314,139.43889411594176
(2016 TH55),1.622,0.6735,39.82,206.85,284.61,0.53,2.71,20.91,,152.45999999999998,2.852762607759203,163.45125737733701
(2016 TJ55),1.172,0.3776,25.66,192.42,87.99,0.729,1.61,23.9,,-122.44,-2.393766673499201,-137.15272753057474
(2016 TT55),2.359,0.5766,4.41,20.1,329.24,0.999,3.72,25.9,,-172.67,-3.0604154211329027,-175.34888718766777
(2016 TY55),1.031,0.1532,4.21,206.91,264.41,0.873,1.19,26.9,,-2.240000000000009,-0.046165403039523205,-2.6450827536851023
(2016 TZ55),1.22,0.553,15.05,201.85,286.58,0.545,1.89,27.0,,49.68000000000001,1.4132289673881278,80.9720553169712
(2016 TA56),2.694,0.7816,32.33,173.88,359.7,0.588,4.8,18.26,,168.08999999999997,3.0248009512597585,173.30832837434082
(2016 TE56),2.025,0.9014,24.58,60.78,181.47,0.2,3.85,20.14,,-104.69,-2.421569933781669,-138.74573700146388
(2016 TH56),1.223,0.189,13.7,3.72,129.12,0.991,1.45,22.2,,-2.8600000000000136,-0.06154016826987179,-3.525991912388548
(2016 TM56),1.119,0.1309,2.35,213.78,126.24,0.973,1.27,26.9,8.0,99.39999999999998,1.8603096035380327,106.58788887038469
(2016 TQ56),1.578,0.4329,6.7,206.81,116.87,0.895,2.26,23.95,,56.28999999999999,1.40974369108598,80.77236369442113
(2016 TA57),0.8996,0.5418,30.07,33.55,129.23,0.412,1.39,20.79,281.0,-26.360000000000014,-0.8764147890298171,-50.21486851425695
(2016 TB57),1.102,0.123,0.3,294.68,147.95,0.967,1.24,26.1,,82.56,1.5639409401838145,89.60721528025454
(2016 TC57),2.176,0.5474,4.46,20.87,339.79,0.985,3.37,27.2,,126.11000000000001,2.519863332610066,144.37753390832717
(2016 TS92),2.048,0.5985,14.85,278.01,9.64,0.822,3.27,20.18,,-111.53,-2.365719128671095,-135.54572158622028
(2016 TT92),2.352,0.5724,1.13,354.61,5.0,1.006,3.7,26.4,,13.469999999999999,0.5190261627233249,29.738008580916812
(2016 TY92),2.823,0.6452,12.15,80.12,24.87,1.002,4.64,19.77,,125.29000000000002,2.5477465018137666,145.97512182314836
(2016 TT93),1.707,0.4628,22.31,42.85,56.79,0.917,2.5,22.4,,-179.9,-3.140399510724734,-179.93163794947597
(2016 TU93),1.713,0.4638,2.1,164.81,158.83,0.918,2.51,26.3,,-158.93,-2.8895261427398413,-165.5576527717092
(2016 TZ93),1.105,0.3277,7.45,30.75,226.69,0.743,1.47,24.14,,-154.32999999999998,-2.8025534692371243,-160.5744856470342
(2016 TG94),1.698,0.4459,1.21,198.64,140.19,0.941,2.46,29.66,,-123.47999999999999,-2.4421866112600443,-139.9269856085572
(2016 TH94),0.8269,0.3729,23.11,30.63,145.6,0.519,1.14,24.58,,95.91000000000003,2.01125438994511,115.23638807101395
(2016 UA),0.754,0.5172,9.87,291.72,282.94,0.364,1.14,20.83,,-47.53999999999999,-1.3322884032890876,-76.33450260268806
(2016 UD),1.536,0.6653,10.26,24.93,257.69,0.514,2.56,26.6,,-153.21,-2.8593267092704506,-163.82735269022697
(2016 UE),1.057,0.152,1.09,181.02,296.59,0.896,1.22,25.1,,-122.24000000000001,-2.2516042717384,-129.00742190423767
(2016 US4),0.8046,0.3623,14.96,206.07,327.99,0.513,1.1,24.41,,-86.68,-1.8600956563075282,-106.57563059703828
(2016 UT4),2.047,0.5043,2.9,359.84,349.42,1.015,3.08,22.3,,-132.75,-2.583840616711566,-148.04316227205254
(2016 UL5),2.605,0.6557,25.22,349.41,116.46,0.897,4.31,18.8,,-156.32999999999998,-2.8910443300017183,-165.64463849432528
(2016 UN5),1.548,0.3436,4.25,26.53,40.94,1.016,2.08,25.1,,57.80000000000001,1.3435679017423667,76.98077025908532
(2016 UO5),0.8994,0.201,6.65,208.38,1.86,0.719,1.08,25.8,,-122.75,-2.2931872876045323,-131.3899532127926
(2016 UP5),2.846,0.6438,4.11,19.75,350.8,1.014,4.68,24.4,,144.92000000000002,2.7656825286556397,158.4619363650375
(2016 UQ5),1.912,0.487,7.24,23.94,38.17,0.981,2.84,25.0,,-35.19999999999999,-1.0324813294309167,-59.15682260244792
(2016 UR5),0.9408,0.4735,11.71,28.98,126.51,0.495,1.39,26.7,,89.36000000000001,1.9917831012912999,114.12076540946964
(2016 UX5),1.247,0.2605,2.65,205.92,246.6,0.922,1.57,26.5,,-32.46000000000001,-0.7427057383117903,-42.55390422541336
(2016 UA6),0.9516,0.184,12.16,206.92,311.75,0.777,1.13,25.8,,-10.430000000000007,-0.22267169013912777,-12.758148062016858
(2016 UZ25),2.498,0.7929,3.81,32.32,114.56,0.518,4.48,21.74,143.0,-87.55,-2.178827642343607,-124.83762819272829
(2016 UA26),1.759,0.4859,11.82,223.94,100.61,0.904,2.61,23.85,,163.41000000000003,2.9463224772370173,168.81184303021064
(2016 UB26),2.548,0.7055,4.7,13.41,87.66,0.75,4.35,24.93,,168.86,3.0274887270326567,173.46232658240535
(2016 UC26),2.059,0.5644,5.31,185.83,258.56,0.897,3.22,22.59,,-167.0,-2.9963736722652388,-171.67956526491392
(2016 UD26),2.491,0.6174,4.29,9.76,344.19,0.953,4.03,24.3,,-61.849999999999994,-1.692331971453649,-96.96347949934821
(2016 UC31),0.9549,0.1256,14.0,217.32,319.4,0.835,1.07,24.72,,-56.55,-1.0988539717894659,-62.959694884724016
(2016 UJ31),1.48,0.3289,30.28,348.59,5.15,0.993,1.97,19.47,,-148.69,-2.7274739325441177,-156.27274506672734
(2016 UR31),1.216,0.3043,1.81,229.87,78.42,0.846,1.59,24.7,,149.92000000000002,2.7365183144285834,156.7909499770118
(2016 US31),1.521,0.365,1.64,167.21,182.01,0.966,2.08,25.2,,-161.01,-2.8981397532639033,-166.0511763011074
(2016 UY35),0.9299,0.1794,17.49,215.14,25.87,0.763,1.1,24.7,,1.6699999999999875,0.03551749807629084,2.035002738635484
(2016 UM36),2.362,0.6205,2.97,246.53,82.6,0.897,3.83,24.3,,-166.94,-3.0007542592450442,-171.93055441064672
(2016 UP36),2.537,0.6921,2.1,197.87,261.25,0.781,4.29,26.1,,169.43,3.0324790895279516,173.74825329162616
(2016 UQ36),1.807,0.5087,4.67,211.4,132.78,0.888,2.73,27.6,,99.0,2.1528195931863094,123.34747674264634
(2016 UR36),2.052,0.6677,0.45,19.03,97.08,0.682,3.42,27.5,,-165.27,-2.9871907001518836,-171.15341971943232
(2016 UW40),1.334,0.3007,14.51,43.72,244.54,0.933,1.74,21.82,,-160.89,-2.88451485422453,-165.27052708985946
(2016 UY40),1.673,0.3994,20.99,14.22,64.08,1.005,2.34,21.8,,-135.57,-2.579130999086727,-147.77332105902883
(2016 UZ40),2.072,0.7334,2.35,98.17,36.86,0.553,3.59,23.4,,174.14,3.082574875436236,176.61853039556178
(2016 UA41),1.199,0.2097,8.84,33.99,293.44,0.948,1.45,24.4,,-169.29,-2.9869643789835267,-171.140452471671
(2016 UB41),1.998,0.565,3.75,27.19,58.55,0.869,3.13,27.1,,-117.63,-2.42439242191922,-138.9074536594713
(2016 UD41),2.821,0.6501,2.14,53.61,307.16,0.987,4.66,22.7,49.0,155.07999999999998,2.8767961442820194,164.82827758686796
(2016 UO41),1.006,0.4214,9.46,216.13,48.59,0.582,1.43,24.4,,-103.81,-2.1617588681571753,-123.85965947038392
(2016 UP41),1.081,0.1943,5.35,250.14,336.17,0.871,1.29,21.71,,14.180000000000007,0.3060244930411985,17.533911878891303
(2016 UQ41),0.9469,0.1562,16.88,214.7,44.11,0.799,1.09,25.3,,-117.71000000000001,-2.1823196266588147,-125.03770415611558
(2016 UR41),1.572,0.4542,1.73,23.74,68.03,0.858,2.29,28.0,,13.530000000000001,0.42230208699791993,24.19612726454733
(2016 UZ41),2.242,0.5788,12.2,60.34,266.82,0.944,3.54,20.32,,95.12,2.145861251623652,122.94879313869563
(2016 UA42),1.036,0.443,25.05,56.56,205.66,0.577,1.49,21.2,,137.63,2.622041841018472,150.23193119707082
(2016 UC42),1.807,0.5621,2.19,55.17,268.97,0.791,2.82,24.9,,-159.11,-2.90742135838237,-166.58297310150257
(2016 UY56),1.325,0.4461,0.9,244.61,250.55,0.734,1.92,23.94,,110.54000000000002,2.2705529793333814,130.09310287665755
(2016 UZ56),1.151,0.1736,14.5,42.59,81.6,0.951,1.35,23.9,,-126.88,-2.3392854883019747,-134.03118555590305
(2016 UE57),1.014,0.1857,10.05,34.39,265.99,0.826,1.2,26.4,,-154.12,-2.7591947087491673,-158.09021166615568
(2016 UF57),0.929,0.297,43.86,34.47,222.43,0.653,1.2,23.9,,-67.77,-1.4785467986630185,-84.71449137597003
(2016 UG57),2.004,0.498,0.66,215.95,175.69,1.006,3.0,27.7,,-109.6,-2.2881483313650226,-131.10124228711757
(2016 UH57),1.352,0.2627,12.93,38.43,21.12,0.997,1.71,26.06,,81.00999999999999,1.6751618399144699,95.97970342846878
(2016 UV80),1.528,0.54,3.49,183.0,129.89,0.703,2.35,22.9,,-147.74,-2.773075171943491,-158.88550362487712
(2016 UW80),1.165,0.1694,12.99,37.39,108.55,0.967,1.36,23.91,,166.14,2.934518265117761,168.13551149530008
(2016 UX80),0.9416,0.2461,25.52,36.57,229.57,0.71,1.17,24.44,,-102.53,-2.0120173122348,-115.2801002983096
(2016 UF101),2.688,0.6322,10.13,317.11,18.61,0.989,4.39,21.79,,-149.37,-2.8117588833847718,-161.10191702636445
(2016 UH101),2.097,0.5295,4.71,176.16,175.66,0.987,3.21,22.61,128.0,-172.74,-3.0587151619006625,-175.25146950958225
(2016 UJ101),1.254,0.221,26.69,239.96,109.68,0.977,1.53,20.52,,20.419999999999987,0.45314998077872337,25.96358138505522
(2016 UA107),2.723,0.7745,26.97,232.52,22.73,0.614,4.83,20.8,525.0,-162.01,-2.9642448791911504,-169.8387210209195
(2016 UB107),1.374,0.3065,0.97,18.18,58.11,0.953,1.79,25.2,,25.22,0.617680136796384,35.39046492749614
(2016 UC107),2.011,0.5891,2.03,211.76,247.75,0.826,3.19,25.6,,-131.31,-2.596991162576435,-148.79663304840275
(2016 UR109),1.144,0.3093,19.34,1.71,280.22,0.79,1.5,22.18,,39.52000000000001,0.9394273331903665,53.82522135103818
(2016 UT149),0.9805,0.2093,2.73,28.58,106.7,0.775,1.19,33.07,,178.3,3.117056878746846,178.59420365441588
(2016 UV149),1.28,0.2668,15.4,209.09,135.82,0.939,1.62,31.83,,29.849999999999994,0.691018360233565,39.59243560743403
(2016 UW149),1.177,0.2453,10.16,29.0,296.54,0.889,1.47,31.17,,-49.21000000000001,-1.0745924058197531,-61.56960955028126
(2016 UX149),1.102,0.1938,12.65,209.21,251.58,0.888,1.32,29.71,,75.41999999999999,1.5097665164662422,86.50324944368418
(2016 UY149),1.368,0.2937,26.3,209.73,212.77,0.966,1.77,29.55,,158.82,2.8549661783549474,163.57751267233232
(2016 UZ149),1.284,0.3435,25.89,30.16,292.92,0.843,1.72,30.93,,30.52000000000001,0.7723842148877864,44.254355675595804
(2016 UD150),2.143,0.5397,14.58,216.65,165.1,0.987,3.3,29.96,,17.379999999999995,0.6145041021694498,35.2084915477854
(2016 UE150),1.771,0.5742,2.08,36.69,70.49,0.754,2.79,29.85,,-62.620000000000005,-1.6646007586705422,-95.37459804609695
(2016 VA),0.9209,0.5349,29.69,219.7,309.23,0.428,1.41,27.6,,-179.6,-3.1370442625567163,-179.73939639022956
(2016 VF),1.561,0.3746,9.87,37.56,39.57,0.976,2.15,26.43,,34.47,0.8935385590980197,51.195988268517425
(2016 VG),0.9003,0.3443,9.47,223.46,306.74,0.59,1.21,26.7,,-60.91,-1.402516584618341,-80.35828099573374
(2016 VH),1.354,0.2731,2.73,211.71,158.32,0.984,1.72,26.7,,105.17000000000002,2.0747155803411843,118.87244644358515
(2016 VK),1.759,0.7735,5.91,210.56,315.63,0.398,3.12,22.5,,108.72000000000003,2.4127044663425665,138.23778313379262
(2016 VQ),2.476,0.6576,2.66,229.76,229.03,0.848,4.1,26.0,,167.97000000000003,3.014791023604738,172.73480176647683
(2016 VR),1.163,0.3283,3.47,45.18,87.83,0.781,1.54,26.3,,-153.22,-2.7879037155217827,-159.73511658823904
(2016 VS),1.015,0.332,2.46,43.08,107.61,0.678,1.35,27.4,,53.370000000000005,1.2461385206895617,71.39847792418772
(2016 VY),1.747,0.4816,24.31,227.72,112.55,0.905,2.59,22.35,,174.45999999999998,3.0763162217108744,176.25993595166472
(2016 VZ),1.035,0.3249,4.18,44.06,107.93,0.698,1.37,25.9,,-37.24000000000001,-0.9055881319683569,-51.88637793892306
(2016 VA1),1.18,0.4217,29.23,46.77,96.68,0.682,1.68,23.5,,129.51,2.5095229631470652,143.78507437949128
(2016 VB1),0.7549,0.3189,1.22,41.08,176.14,0.514,1.0,28.57,,-65.76,-1.4648400890398863,-83.9291547635532
(2016 VC1),2.289,0.6861,13.37,245.46,241.63,0.719,3.86,21.71,,24.849999999999994,1.0174157121122374,58.29362631432838
(2016 VN1),1.058,0.3856,26.3,222.53,287.89,0.65,1.47,25.78,,-131.9,-2.525050060913991,-144.6747115496231
(2016 VO1),0.9827,0.4288,1.62,129.71,131.96,0.561,1.4,23.14,,18.02000000000001,0.5320325746639235,30.483221091721674
(2016 VP1),1.535,0.5663,2.8,218.9,95.43,0.666,2.4,27.2,,-151.51,-2.822174558612327,-161.69869125768233
(2016 VS1),0.9327,0.2114,4.42,230.46,314.1,0.736,1.13,25.8,,72.24000000000001,1.4711777670933268,84.29227696792805
(2016 VT1),1.052,0.4824,5.6,181.59,348.96,0.544,1.56,23.9,,110.26999999999998,2.2881015165644074,131.09855999662358
(2016 VX1),1.2,0.5388,3.5,54.33,102.85,0.553,1.85,25.0,,87.29000000000002,2.0109441662832066,115.21861356448176
(2016 VY1),1.118,0.1283,10.63,230.48,202.75,0.974,1.26,24.82,,30.639999999999986,0.6080640547013583,34.839504007999835
(2016 VZ1),1.072,0.1384,24.0,224.17,250.7,0.924,1.22,26.1,,174.7,3.060325237343821,175.3437200371729
(2016 VG2),1.684,0.6442,9.87,124.89,48.41,0.599,2.77,19.55,,-157.1,-2.897561483650876,-166.01804389286028
(2016 VK2),1.781,0.6018,2.64,261.11,227.61,0.709,2.85,25.0,,157.39999999999998,2.894399002812296,165.83684708801866
(2016 VL2),2.197,0.5399,1.75,241.13,151.18,1.011,3.38,27.0,,-176.57,-3.1027134528500633,-177.77238588677156
(2016 VO2),1.575,0.5169,9.19,226.48,102.54,0.761,2.39,26.7,,-154.15,-2.842654832492186,-162.87212451427024
(2016 VQ2),1.982,0.5058,11.16,45.09,327.36,0.979,2.98,23.5,,-84.91,-1.9515383071547716,-111.81490855807372
(2016 VT2),2.38,0.6712,22.63,324.25,184.84,0.782,3.98,18.45,,-40.33000000000001,-1.3602722141978758,-77.93785686245378
(2016 VU2),0.9866,0.5478,26.79,235.37,18.54,0.446,1.53,22.0,,-5.449999999999989,-0.20852370614446386,-11.947528290503982
(2016 VV2),2.521,0.6067,5.31,29.34,36.38,0.992,4.05,24.8,,-94.55,-2.1559653103000795,-123.52771305680747
(2016 VW2),1.252,0.2127,12.65,223.23,144.48,0.986,1.52,26.31,,7.1299999999999955,0.15788470655422568,9.046127335218614
(2016 VH3),2.389,0.6182,45.16,53.92,109.48,0.912,3.87,18.73,,-43.25999999999999,-1.3594776873377215,-77.89233382665715
(2016 VJ3),1.573,0.6822,34.48,43.73,253.62,0.5,2.65,24.6,,-152.82999999999998,-2.858163602293134,-163.7607115693045
(2016 VM3),1.381,0.2649,13.63,222.4,169.1,1.015,1.75,24.8,,31.72999999999999,0.7305565770816335,41.857808562301386
(2016 VN3),2.0,0.6414,10.23,46.11,78.14,0.717,3.28,26.2,,163.07,2.9611912628879447,169.66376169449347
(2016 VO3),1.658,0.4087,12.78,229.37,145.75,0.98,2.34,26.1,,-84.69,-1.8688050919659456,-107.07464450220635
(2016 VU3),1.974,0.6598,10.18,164.3,340.0,0.671,3.28,20.6,,-113.99,-2.423577432221054,-138.86075818941973
(2016 VA4),2.174,0.5915,4.95,252.16,89.91,0.888,3.46,22.3,,-159.76,-2.918947359831789,-167.24336433921596
(2016 VB4),1.392,0.5583,5.99,47.99,261.2,0.615,2.17,23.8,,-144.64,-2.7417668899957666,-157.09167120546687
(2016 VD4),1.115,0.1102,11.81,45.21,347.05,0.992,1.24,27.6,,73.63,1.3935596060894222,79.84508392883737
(2016 VE4),1.52,0.373,5.4,235.71,210.55,0.953,2.09,26.4,,96.80000000000001,2.0247082396976395,116.007236880037
(2016 VN4),1.605,0.6691,12.35,294.29,6.58,0.531,2.68,20.63,,21.460000000000008,0.8977234918984193,51.43576725552617
(2016 VO4),1.483,0.5758,6.57,242.31,66.96,0.629,2.34,24.8,,-147.55,-2.7793050489114273,-159.24244928202563
(2016 VR4),2.447,0.6129,6.18,47.56,330.47,0.947,3.95,28.9,,-173.91,-3.0756742432559157,-176.22315329565726
(2016 VS5),1.672,0.4062,14.9,203.21,320.6,0.993,2.35,19.8,,-157.85,-2.8656665794623897,-164.19060049488587
(2016 VU5),1.426,0.3258,5.78,230.44,144.12,0.962,1.89,27.4,,-55.25,-1.2760440005451543,-73.11193570422667
(2016 VV5),1.435,0.4925,10.34,16.27,292.47,0.728,2.14,22.29,,-43.97999999999999,-1.2321193713715715,-70.59523983590316
(2016 VW5),2.108,0.6316,7.69,51.63,288.11,0.777,3.44,24.2,,-163.98,-2.969899996599333,-170.16273538105932
(2016 VH6),1.183,0.3497,3.39,236.98,78.48,0.769,1.6,26.2,,-126.34,-2.432701137677429,-139.38350800559047
(2016 VK6),1.341,0.2485,7.74,341.02,46.83,1.008,1.67,22.45,194.0,122.87,2.3255102416503557,133.2419220610136
(2016 VZ17),1.931,0.5188,0.92,10.51,352.39,0.929,2.93,27.52,,-168.45,-3.0087324127620683,-172.38766893547967
(2016 VA18),1.134,0.3071,4.51,39.21,278.01,0.786,1.48,28.55,,-127.63,-2.428468492376013,-139.14099529364347
(2016 VB18),1.278,0.3537,12.93,224.54,250.02,0.826,1.73,26.57,,143.85000000000002,2.6710219515986373,153.03828481339838
(2016 VF18),2.778,0.6809,0.77,229.72,136.34,0.886,4.67,29.88,,-173.56,-3.074703988022524,-176.16756176573347
(2016 VT21),1.702,0.5672,7.44,224.44,253.88,0.737,2.67,31.57,,7.009999999999991,0.27801313387495724,15.928979220240592
(2016 VV21),2.913,0.6513,5.58,228.5,181.1,1.016,4.81,31.62,,35.33000000000001,1.2305978079728255,70.50806067489344
